"xSet_genes" "ilmn_ids"
"AMBRA1" "ILMN_1662681"
"ATG14" "ILMN_1678808"
"ATP2A1" "ILMN_1674460"
"ATP2A2" "ILMN_1655884"
"ATP2A3" "ILMN_1697827"
"BECN1" "ILMN_1744822"
"BECN2" "ILMN_1744748"
"BIRC6" "ILMN_1801605"
"BLOC1S1" "ILMN_2157510"
"BLOC1S2" "ILMN_1679782"
"BORCS5" "ILMN_1651268"
"BORCS6" "ILMN_2225746"
"BORCS7" "ILMN_2151056"
"BORCS8" NA
"CACNA1A" "ILMN_1684407"
"CALCOCO2" "ILMN_1755504"
"CTTN" "ILMN_1744912"
"DCTN1" "ILMN_1789089"
"EPG5" "ILMN_1652188"
"GABARAP" NA
"GABARAPL1" "ILMN_2151281"
"GABARAPL2" "ILMN_1796458"
"HDAC6" "ILMN_1798546"
"HSPB8" "ILMN_1791280"
"INPP5E" "ILMN_1811301"
"IRGM" "ILMN_1687277"
"KXD1" "ILMN_1790951"
"LAMP1" NA
"LAMP2" "ILMN_1659753"
"LAMP3" "ILMN_2170813"
"LAMP5" "ILMN_1713561"
"MAP1LC3A" "ILMN_1711986"
"MAP1LC3B" "ILMN_1703244"
"MAP1LC3C" "ILMN_1711331"
"MGRN1" "ILMN_1745697"
"MYO1C" "ILMN_1812616"
"MYO6" "ILMN_1727080"
"NAPA" "ILMN_1713285"
"NSF" "ILMN_1680687"
"OPTN" "ILMN_2381899"
"OSBPL1A" "ILMN_1697952"
"PI4K2A" "ILMN_1750549"
"PIK3C3" "ILMN_1687896"
"PLEKHM1" "ILMN_1709549"
"PSEN1" "ILMN_1744267"
"RAB20" "ILMN_1708881"
"RAB21" "ILMN_1746856"
"RAB29" "ILMN_1813685"
"RAB34" "ILMN_1810486"
"RAB39A" "ILMN_1805255"
"RAB7A" "ILMN_1716524"
"RAB7B" "ILMN_1771688"
"RPTOR" "ILMN_1793514"
"RUBCN" "ILMN_1763637"
"RUBCNL" "ILMN_1773388"
"SNAP29" "ILMN_1659857"
"SNAP47" "ILMN_1797566"
"SNAPIN" "ILMN_1799969"
"SPG11" "ILMN_1665049"
"STX17" "ILMN_1750896"
"STX6" "ILMN_1777915"
"SYT7" "ILMN_1688831"
"TARDBP" "ILMN_1677532"
"TFEB" "ILMN_1733616"
"TGM2" "ILMN_1679267"
"TIFA" "ILMN_1686454"
"TMEM175" "ILMN_1654629"
"TOM1" "ILMN_1813148"
"TPCN1" "ILMN_1737805"
"TPCN2" "ILMN_1726873"
"TPPP" "ILMN_1718687"
"TXNIP" "ILMN_1697448"
"UVRAG" "ILMN_1761069"
"VAMP3" "ILMN_1714527"
"VAMP7" "ILMN_1690524"
"VAMP8" "ILMN_2190084"
"VAPA" "ILMN_1690822"
"VPS11" "ILMN_1717781"
"VPS16" "ILMN_1723156"
"VPS18" "ILMN_1721575"
"VPS33A" NA
"VPS39" "ILMN_1770388"
"VPS41" "ILMN_1703379"
"VTI1B" "ILMN_1693136"
"YKT6" "ILMN_1695998"
